T,x,y
6,18.2526,18.8835
6,13.8280,9.7582
7,19.8964,16.8194
7,20.2395,16.3192
7,21.2323,16.8934
7,21.5528,11.5922
7,16.9592,19.5877
7,20.7305,17.4037
7,19.3161,17.1673
7,21.7016,14.0791
7,19.7845,17.7339
7,21.6215,12.5217
7,20.6562,16.7134
7,13.1253,9.2593
7,21.8742,16.7644
7,11.7505,9.5109
7,17.3426,18.6596
7,22.7042,12.6567
7,16.4357,10.4694
7,18.4663,18.7591
7,18.1806,18.0299
7,17.7681,19.2887
7,21.2331,16.0140
7,21.6354,17.4230
7,19.4659,16.2468
7,18.9139,17.7757
7,15.0715,10.2419
8,20.5223,17.0538
8,20.5586,16.3882
8,21.5697,16.6131
8,22.8553,11.8124
8,17.7974,18.7359
8,21.1432,17.1633
8,19.8511,16.8170
8,22.2457,13.0492
8,20.2405,17.6494
8,22.9983,12.7186
8,21.2389,15.7426
8,14.3276,9.6665
8,22.3317,16.9694
8,12.7920,9.2820
8,18.2847,17.7602
8,17.6737,10.9816
8,19.2120,17.8938
8,18.7968,17.1889
8,18.5817,18.4640
8,21.7269,14.7059
8,21.7920,17.4288
8,19.7352,16.1753
8,19.5369,17.3468
8,16.3101,10.7508
9,20.8320,16.9096
9,21.1975,15.3445
9,21.3357,16.4403
9,18.4166,17.9683
9,21.4246,17.3645
9,20.7130,16.3157
9,23.1237,12.6384
9,20.6207,17.4925
9,21.7755,14.3766
9,15.5611,10.1660
9,21.9581,16.8087
9,13.9560,9.5028
9,19.0510,17.1281
9,18.9158,11.4841
9,19.8234,17.3870
9,19.2641,16.4829
9,19.2049,17.8608
9,22.0268,13.4192
9,22.2115,17.5385
9,19.9033,16.2439
9,20.1496,16.7554
9,17.5490,11.2606
10,21.2600,16.0455
10,21.7785,14.0572
10,21.8061,15.0238
10,19.1024,17.3498
10,21.6010,17.3631
10,21.0798,15.3168
10,20.8866,17.4185
10,22.1557,13.1473
10,16.7985,10.6770
10,21.8013,16.7516
10,15.1868,9.9856
10,19.5480,16.8118
10,20.2055,11.8336
10,20.2642,17.0349
10,19.4636,16.1650
10,19.8242,17.5474
10,22.8654,12.5962
10,22.4870,17.1292
10,20.1708,16.3298
10,20.8383,16.6070
10,18.8197,11.6728
11,21.3346,14.7553
11,22.3650,12.8309
11,22.0425,13.4886
11,19.4234,17.0276
11,21.9739,17.5208
11,21.5016,14.0763
11,21.3782,17.2295
11,23.1336,12.5508
11,18.0365,11.1896
11,21.5661,16.6286
11,16.4239,10.4945
11,20.0700,16.6853
11,21.5176,12.1019
11,20.7530,16.9930
11,19.5109,16.2583
11,20.2327,17.4530
11,22.2916,16.8013
11,20.7723,16.3194
11,21.3517,15.5010
11,20.1303,11.9421
12,21.9083,13.7594
12,23.6508,12.3085
12,22.9039,12.7871
12,19.7721,16.9054
12,22.3103,17.4249
12,22.2094,13.1029
12,21.5021,17.3434
12,19.2937,11.6449
12,21.2142,16.0617
12,17.6617,11.0067
12,20.6320,16.3948
12,22.7015,11.9936
12,21.0461,16.9388
12,19.9229,16.2805
12,20.3960,17.2360
12,21.8771,16.7616
12,21.3712,15.0335
12,21.9253,14.5376
12,21.4485,12.1826
13,22.4646,12.8149
13,19.6744,16.8881
13,22.4085,16.9316
13,23.4567,12.5876
13,21.6255,17.3638
13,20.5977,11.9424
13,21.5098,14.7601
13,18.9048,11.5058
13,21.2605,15.7020
13,23.9131,11.8688
13,21.0508,16.6506
13,20.3545,16.3922
13,20.5018,17.0598
13,21.7409,16.6793
13,21.6989,14.0276
13,22.0183,13.3558
13,22.6016,12.1608
14,23.8265,12.7834
14,19.9563,16.5031
14,22.0516,16.9081
14,21.4980,17.3660
14,21.9103,12.1917
14,21.9169,13.7616
14,20.1968,11.8465
14,21.8398,14.5568
14,21.3060,15.3124
14,20.8520,16.2582
14,20.7462,17.0850
14,21.3367,16.5862
14,22.2628,13.0911
14,22.7347,12.4888
14,23.8867,11.8055
15,20.4921,16.4197
15,21.9389,16.7496
15,21.4979,17.2453
15,23.0290,11.9599
15,22.4188,12.7668
15,21.5093,12.1123
15,22.0243,13.4096
15,21.7147,14.1547
15,21.4934,14.9196
15,20.9293,16.9087
15,21.1322,15.7736
15,23.4501,12.9013
16,20.4611,16.4702
16,21.8120,16.7602
16,21.6206,17.4035
16,23.6717,12.4636
16,22.7516,11.9917
16,22.9023,12.8020
16,22.1831,13.1183
16,21.9221,13.8321
16,21.2040,16.3373
16,21.4746,14.5263
17,20.7560,16.3810
17,21.3540,16.5558
17,21.5702,17.2672
17,23.9992,11.8784
17,23.1250,12.4473
17,22.3801,12.8531
17,21.2975,15.0536
17,22.0494,13.6119
18,20.5991,16.5039
18,21.2116,16.1430
18,21.7050,16.8575
18,23.4942,12.5417
18,21.8855,13.8860
18,22.5404,12.7405
19,20.7223,16.3332
19,21.3615,14.8509
19,21.4118,16.6117
19,22.4625,12.7841
19,23.6907,12.6544
20,21.2088,15.6023
20,21.9904,13.7091
20,21.3682,16.6644
20,23.5961,12.5726
21,21.7280,14.3721
21,22.6161,12.6816
21,21.0431,15.9318
22,22.1740,13.1514
22,23.8019,12.5925
22,21.4807,14.7768
23,23.1439,12.5743
23,22.0258,13.5852
24,22.7336,12.6408
